number,id,name,position,office,region,year,income,income_family,income_salary,income_salary_family,income_teaching,income_teaching_family,income_royalties,income_royalties_family,income_dividents,income_dividents_family,income_help,income_help_family,income_gifts,income_gifts_family,bank_deps,bank_deps_family,flat_area,flat_area_family,house_area,house_area_family,land_area,land_area_family,cars,cars_family,cars_cargo,cars_cargo_family,cars_info,cars_family_info,cars_info_year,cars_family_info_year
3232,vulyk_1_554,Британчук Володимир Васильович,суддя Вищого спеціалізованого суду України з розгляду цивільних і кримінальних справ,Вищий спеціалізований суд з розгляду цивільних і кримінальних справ,Загальнодержавний регіон,2013,328133,248340,328133,47340,0,0,0,0,0,0,0,0,0,0,0,0,36.8,179.6,0,47.8,0,210,1,2,0,0,Nissan X-Trail;;;;;,Nissan Qashqai;Nissan Qashqai;;;;,2011;;;;;,2008;2012;;;;
3233,vulyk_1_770,Мохорт Олександр Михайлович,старший інспектор ДПС спеціалізованого відділення ДПС із забезпечення супроводження спеціального загону ДПС особливого призначення (підпорядкованого Департаменту ДАІ) при МВС України,Департамент ДАІ,Загальнодержавний регіон,2013,59156.57,0,51532.05,0,0,0,0,0,0,0,7624.52,0,0,0,0,0,32,0,0,0,0,0,1,0,0,0,Daewoo Lanos;;;;;,;;;;;,2008;;;;;,;;;;;
3234,vulyk_1_465,Нечипорук Світлана Володимирівна,начальник відділу акредитації центрів сертифікації ключів Управління функціонування центрального засвідчувального органу,Міністерство юстиції,Загальнодержавний регіон,2013,122365,0,106528,0,8739,0,0,0,0,0,7098,0,0,0,0,0,91,0,0,0,1000,0,0,0,0,0,;;;;;,;;;;;,;;;;;,;;;;;
3235,vulyk_1_53,Малиш Наталія Іванівна,суддя Дніпропетровського апеляційного адміністративного суду,Апеляційний адміністративний суд,Дніпропетровська область,2013,224839,38152,209851,31381,367,0,0,0,1980,0,12617,1147,24,24,0,0,130.86,32.4,40,0,0,85500,1,0,0,0,Daewoo Lanos;;;;;,;;;;;,2008;;;;;,;;;;;
3236,vulyk_1_1587,Пальонна Ольга Олексіївна,"начальник відділу представництва інтересів громадян і держави в судах управління представництва, захисту інтересів громадян та держави в суді прокуратури Полтавської області",Прокуратура,Полтавська область,2014,95398,134383,95398,132883,0,0,0,0,0,0,0,1500,0,0,0,0,55,55,0,0,2000,700,0,1,0,0,;;;;;,Mitsubishi Lancer;;;;;,2007;;;;;,2007;;;;;
3237,vulyk_1_1296,Балушок Оксана Володимирівна,головний спеціаліст з питань захисту державних таємниць прокуратури Тетіївського району Київської області,Прокуратура,Київська область,2014,58779,68250,44159,47096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.7,0,1.1331,0,0,0,0,;;;;;,;;;;;,;;;;;,;;;;;
3238,vulyk_1_686,Пилипчук Світлана Анатоліївна,заступник начальника управління - начальник відділу укладання міжнародних договорів про правову допомогу управління міжнародного права департаменту міжнародного права та співробітництва,Міністерство юстиції,Загальнодержавний регіон,2013,171091,14400,155070,14400,0,0,0,0,0,0,16021,0,0,0,0,0,73.1,34.4,0,0,0,0,0,1,0,0,;;;;;,Daewoo Nexia;;;;;,;;;;;,2006;;;;;
3239,vulyk_1_787,Міщенко Станіслав Миколайович,заступник голови Вищого спеціалізованого суду України з розгляду цивільних і кримінальних справ,Вищий спеціалізований суд з розгляду цивільних і кримінальних справ,Загальнодержавний регіон,2013,569972,112265,558463,91830,0,0,0,0,11109,1775,0,0,0,0,0,0,26.22,0,0,26.22,25000,24000,1,1,0,0,Toyota Land Cruiser Prado;;;;;,Volkswagen Polo;;;;;,2007;;;;;,2012;;;;;
3240,vulyk_1_1284,Алєксєєва Марина Сергіївна,прокурор прокуратури Голосіївського району міста Києва,Прокуратура,м. Київ,2014,68447,80267,63979,75799,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,BMW 318 i;;;;;,;;;;;,2001;;;;;,;;;;;
3241,vulyk_1_439,Пампуха Геннадій Геннадійович,помічник Міністра юстиції України,Міністерство юстиції,Загальнодержавний регіон,2013,43668.5,16723.6,43668.5,16723.6,0,0,0,0,0,0,0,0,0,0,0,0,194,406.2,0,0,0,0,0,0,0,0,;;;;;,;;;;;,;;;;;,;;;;;
